Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,source_file
53,33757,4,2,140,160,35,35,35.0,0.0,80,80,80.0,0.0,8887.0456497912,177.7409129958,6751.4,13572.6020828727,30933,3,30939,10313.0,17857.4438260351,30933,3,4,4.0,0.0,4,4,0,0,0,0,80,40,118.4939419972,59.2469709986,35,80,47.8571428571,21.9577516413,482.1428571429,0,0,0,0,0,0,0,0,0,55.8333333333,35.0,80.0,0,0,0,0,0,0,4,140,2,160,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
53,23508,1,1,57,73,57,57,57.0,0.0,73,73,73.0,0.0,5530.0323294198,85.0774204526,23508.0,0.0,23508,23508,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,44,20,42.5387102263,42.5387102263,57,73,62.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,93.5,57.0,73.0,0,0,0,0,0,0,1,57,1,73,-1,-1,0,44,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
443,13985863,23,17,12338,6386,1960,0,536.4347826087,677.824717627,1834,0,375.6470588235,591.2395814279,1338.7804528044,2.8600308755,358611.871794872,1461850.86973571,8878380,3,13985863,635721.045454545,1919115.18586349,8878380,15,5036427,314776.6875,656147.730238724,2031990,49,0,0,0,0,472,352,1.6445177534,1.2155131221,0,1960,456.6829268293,635.7540970778,404183.271951219,0,0,0,1,0,0,0,0,0,468.1,536.4347826087,375.6470588235,0,0,0,0,0,0,23,12338,17,6386,8192,512,22,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
443,9007944,13,8,7278,607,1484,0,559.8461538462,640.6271466506,223,0,75.875,101.6400335919,875.3384790136,2.3312755941,450397.2,1776799.15241652,7962246,3,9007944,750662.0,2282012.7087232,7962246,28,977298,139614.0,320405.41733508,864278,3,0,0,0,0,272,172,1.4431706059,0.8881049882,0,1484,358.4090909091,547.3622165476,299605.396103896,0,0,0,1,0,0,0,0,0,375.4761904762,559.8461538462,75.875,0,0,0,0,0,0,13,7278,8,607,8192,341,12,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
443,1031951,8,7,1128,759,544,0,141.0,240.8823067689,531,0,108.4285714286,193.8314191446,1828.5751939772,14.535573879,73710.7857142857,238196.260080173,899654,3,1031951,147421.571428571,332304.944106492,899654,200,67279,11213.1666666667,13459.3459635551,33086,3,0,0,0,0,172,152,7.7523060688,6.7832678102,0,544,117.9375,208.229190637,43359.3958333333,0,0,0,1,0,0,0,0,0,125.8,141.0,108.4285714286,0,0,0,0,0,0,8,1128,7,759,8192,31,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
443,9006071,5,4,580,149,517,0,116.0,225.1010884025,137,0,37.25,66.560123197,80.9453978322,0.9993258992,1125758.875,3106471.37577498,8813429,82,9006071,2251517.75,4434494.30603907,8903161,227,141716,47238.6666666667,44993.2790129074,89846,189,0,0,0,0,112,92,0.5551810551,0.4441448441,0,517,72.9,161.8157044981,26184.3222222222,0,0,0,1,0,0,0,0,0,81.0,116.0,37.25,0,0,0,0,0,0,5,580,4,149,8192,219,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
443,9982809,7,5,2803,1969,2497,0,400.4285714286,928.3933895253,1812,0,393.8,795.1491683955,478.02176722,1.2020664725,907528.090909091,2943410.92520737,9781988,3,9982809,1663801.5,3977189.6329476,9781988,274,149455,37363.75,28926.6698552852,66847,3,0,0,0,0,152,112,0.7012054423,0.5008610302,0,2497,367.0769230769,808.6324321077,653886.41025641,0,0,0,1,0,0,0,0,0,397.6666666667,400.4285714286,393.8,0,0,0,0,0,0,7,2803,5,1969,8192,133,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
443,6500663,8,7,821,4758,460,0,102.625,163.8317407761,1460,0,679.7142857143,678.0574494554,858.220153852,2.3074569471,464333.071428571,1712739.27547205,6415002,48,6500663,928666.142857143,2419271.58202308,6415002,134,63219,10536.5,10887.1691591524,24485,48,0,0,0,0,172,152,1.2306437051,1.076813242,0,1460,348.6875,536.6231102925,287964.3625,0,0,0,1,0,0,0,0,0,371.9333333333,102.625,679.7142857143,0,0,0,0,0,0,8,821,7,4758,8192,123,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
443,9349912,8,7,1049,561,709,0,131.125,247.5539984384,389,0,80.1428571429,140.5079221627,172.1941340197,1.6042931741,667850.857142857,2457622.33964296,9206419,29,9349912,1335701.71428571,3470791.56668897,9206419,51,64809,10801.5,14114.5097931172,29099,82,0,0,0,0,172,152,0.8556230262,0.7486701479,0,709,100.625,194.5832726624,37862.65,0,0,0,1,0,0,0,0,0,107.3333333333,131.125,80.1428571429,0,0,0,0,0,0,8,1049,7,561,8192,8499,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
443,10233047,12,12,5367,8911,2497,0,447.25,959.5349370682,1811,2,742.5833333333,727.6109672737,1395.2833403384,2.3453424967,444915.086956522,2053726.13088375,9865491,10,10233047,930277.0,2963629.89734309,9865491,102,316786,28798.7272727273,34374.1294845147,96180,48,0,0,0,0,252,244,1.1726712484,1.1726712484,0,2497,571.12,837.0203760961,700603.11,0,0,0,1,0,0,0,0,1,594.9166666667,447.25,742.5833333333,0,0,0,0,0,0,12,5367,12,8911,8192,40880,11,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Monday-WorkingHours.pcap_ISCX.csv
