window_start,window_end,source_file,actual_label,actual_category,predicted_label,confidence,anomaly_score,anomaly_threshold,is_anomaly,pipeline_action,risk_score,risk_level,top_classifier_features,top_anomaly_features,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
0,9,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.17634756863117218,0.8343746826946727,False,Ignored as normal,0.08326235598711583,Low,,,10233047,12,12,5367,8911,2497,0,447.25,959.5349370682,1811,2,742.5833333333,727.6109672737,1395.2833403384,2.3453424967,444915.086956522,2053726.13088375,9865491,10,10233047,930277.0,2963629.89734309,9865491,102,316786,28798.7272727273,34374.1294845147,96180,48,0,0,0,0,252,244,1.1726712484,1.1726712484,0,2497,571.12,837.0203760961,700603.11,0,0,0,1,0,0,0,0,1,594.9166666667,447.25,742.5833333333,0,0,0,0,0,0,12,5367,12,8911,8192,40880,11,20,0.0,0.0,0,0,0.0,0.0,0,0
5,14,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.13418430089950562,0.8343746826946727,False,Ignored as normal,0.06079541957386307,Low,,,9340626,8,7,365,4816,209,0,45.625,78.4527837984,1460,0,688.0,660.06969329,554.6737445649,1.605888085,667187.571428571,2440597.85996665,9146513,15,9340626,1334375.14285714,3444982.37933585,9146513,123,99319,16553.1666666667,23413.4404256757,53453,48,0,0,0,0,172,152,0.8564736453,0.7494144397,0,1460,323.8125,536.0114698711,287308.295833333,0,0,0,1,0,0,0,0,0,345.4,45.625,688.0,0,0,0,0,0,0,8,365,7,4816,8192,946,7,20,0.0,0.0,0,0,0.0,0.0,0,0
10,19,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.035855043679475784,0.8343746826946727,False,Ignored as normal,0.008400117018468229,Low,,,9753054,5,4,580,149,517,0,116.0,225.1010884025,137,0,37.25,66.560123197,74.7458180791,0.9227878775,1219131.75,3356673.44895494,9526132,50,9753054,2438263.5,4782065.15786632,9611361,45936,181036,60345.3333333333,51869.8199855497,94800,690,0,0,0,0,112,92,0.512659932,0.4101279456,0,517,72.9,161.8157044981,26184.3222222222,0,0,0,1,0,0,0,0,0,81.0,116.0,37.25,0,0,0,0,0,0,5,580,4,149,8192,231,4,20,0.0,0.0,0,0,0.0,0.0,0,0
15,24,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.049303557723760605,0.8343746826946727,False,Ignored as normal,0.01556623402364422,Low,,,8445180,5,4,580,149,517,0,116.0,225.1010884025,137,0,37.25,66.560123197,86.3214283177,1.0656966459,1055647.5,2914104.29089459,8267265,97,8445180,2111295.0,4160868.78097712,8352513,149,131996,43998.6666666667,42567.8734767587,85414,365,0,0,0,0,112,92,0.5920536922,0.4736429537,0,517,72.9,161.8157044981,26184.3222222222,0,0,0,1,0,0,0,0,0,81.0,116.0,37.25,0,0,0,0,0,0,5,580,4,149,8192,231,4,20,0.0,0.0,0,0,0.0,0.0,0,0
20,29,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.09899395704269409,0.8343746826946727,False,Ignored as normal,0.042044045206413534,Low,,,6622531,15,11,2535,7482,575,0,169.0,238.8173240904,1460,2,680.1818181818,547.5716972565,1512.5637010986,3.9259914374,264901.24,818355.944411939,3675173,23,6622531,473037.928571429,1063494.39937453,3675173,107,2877627,287762.7,653759.594124128,2118270,49,0,0,0,0,312,224,2.26499506,1.6609963774,0,1460,371.0,464.0145886301,215309.538461538,0,0,0,1,0,0,0,0,0,385.2692307692,169.0,680.1818181818,0,0,0,0,0,0,15,2535,11,7482,8192,34500,14,20,0.0,0.0,0,0,0.0,0.0,0,0
25,34,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.3233400881290436,0.8343746826946727,False,Ignored as normal,0.16158815392573683,Low,,,13111721,11,6,1737,4504,677,0,157.9090909091,266.2132433015,1460,0,750.6666666667,553.845345441,475.9863331442,1.2965498579,819482.5625,1811863.57164473,5999715,79,13111721,1311172.1,2180671.27548471,5999715,113,177277,35455.4,19732.5051197257,45609,201,0,0,0,0,252,128,0.8389440257,0.4576058322,0,1460,346.7222222222,468.6536166705,219636.212418301,0,0,0,1,0,0,0,0,0,367.1176470588,157.9090909091,750.6666666667,0,0,0,0,0,0,11,1737,6,4504,8192,33850,8,20,3000516.0,0.0,3000516,3000516,5999715.0,0.0,5999715,5999715
30,39,panel_demo_traffic.csv,BENIGN,Normal,Normal,0.0,0.29421883821487427,0.8343746826946727,False,Ignored as normal,0.14607073069706472,Low,,,7763284,5,4,580,164,517,0,116.0,225.1010884025,152,0,41.0,74.0540343263,95.8357313735,1.1593032021,970410.5,2693683.15499806,7636674,41,7763284,1940821.0,3842627.67078024,7704726,183,97835,32611.6666666667,34353.111799855,68646,232,0,0,0,0,112,92,0.6440573345,0.5152458676,0,517,74.4,162.5438060613,26420.4888888889,0,0,0,1,0,0,0,0,0,82.6666666667,116.0,41.0,0,0,0,0,0,0,5,580,4,164,8192,946,4,20,0.0,0.0,0,0,0.0,0.0,0,0
35,44,panel_demo_traffic.csv,DDoS,DoS / DDoS,Normal,0.0,0.6532694101333618,0.8343746826946727,False,Ignored as normal,0.3373928649247253,Low,,,13994,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,830856.0812,500.2143776,2332.333333,4703.568206,11872,4,12026,6013.0,8498.009296,12022,4,13844,4614.666667,6587.216433,12185,190,0,0,0,0,72,92,214.3775904,285.8367872,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
40,49,panel_demo_traffic.csv,DDoS,DoS / DDoS,DoS / DDoS,0.9999651908874512,1.7484649419784546,0.8343746826946727,True,Classified and alerted,0.9999651908874512,High,,,15249,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,762476.2279,590.2026362,1906.125,4084.294429,11872,5,12025,6012.5,8495.887976,12020,5,15101,3020.2,5186.954328,12184,48,0,0,0,0,72,132,196.7342121,393.4684242,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
45,54,panel_demo_traffic.csv,DDoS,DoS / DDoS,DoS / DDoS,0.9999628067016602,1.4796969890594482,0.8343746826946727,True,Classified and alerted,0.9999628067016602,High,,,1140299,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,10196.44848,7.892666748,142537.375,387326.1235,1100535,2,39019,19509.5,27587.77107,39017,2,1140118,228023.6,488036.045,1100535,49,0,0,0,0,72,132,2.630888916,5.261777832,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
50,59,panel_demo_traffic.csv,DDoS,DoS / DDoS,DoS / DDoS,0.9999716281890869,1.202581763267517,0.8343746826946727,True,Classified and alerted,0.9999716281890869,High,,,72021714,8,6,56,11607,20,0,7.0,5.656854249,5840,0,1934.5,2538.919278,161.9372735,0.194385821,5540131.846,16400000.0,59300000,3,70200000,10000000.0,22100000.0,59300000,12,1807369,361473.8,807735.0295,1806394,3,0,0,0,0,172,132,0.111077612,0.083308209,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,965.0,0.0,965,965,35100000.0,34300000.0,59300000,10900000
55,64,panel_demo_traffic.csv,DDoS,DoS / DDoS,DoS / DDoS,0.9999622106552124,1.1926332712173462,0.8343746826946727,True,Classified and alerted,0.9999622106552124,High,,,1172992,2,4,20,11601,20,0,10.0,14.14213562,8675,0,2900.25,4088.041942,9907.143442,5.1151244,234598.4,509372.1458,1145554,37,27017,27017.0,0.0,27017,27017,1172955,390985.0,653615.5509,1145554,191,0,0,0,0,52,92,1.705041467,3.410082933,0,8675,1660.142857,3278.463585,10700000.0,0,0,0,1,0,0,0,0,2,1936.833333,10.0,2900.25,0,0,0,0,0,0,2,20,4,11601,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0
